Date,Close
02/01/1986,7.31
03/01/1986,6.94
06/01/1986,7.31
07/01/1986,8.53
08/01/1986,8.72
09/01/1986,8.44
10/01/1986,8.63
13/01/1986,9
14/01/1986,8.81
15/01/1986,9.28
16/01/1986,9.28
17/01/1986,9
20/01/1986,7.5
21/01/1986,6.56
22/01/1986,6.47
23/01/1986,6.66
24/01/1986,7.78
27/01/1986,7.69
28/01/1986,7.5
29/01/1986,7.13
30/01/1986,7.13
31/01/1986,6.94
03/02/1986,6.85
04/02/1986,6.56
05/02/1986,6.66
06/02/1986,6.94
07/02/1986,7.6
10/02/1986,7.97
11/02/1986,8.16
12/02/1986,8.35
13/02/1986,8.06
14/02/1986,8.06
18/02/1986,7.97
19/02/1986,8.16
20/02/1986,8.16
21/02/1986,8.16
24/02/1986,8.16
25/02/1986,6.47
26/02/1986,6.28
27/02/1986,6.28
28/02/1986,5.72
03/03/1986,6.1
04/03/1986,6.38
05/03/1986,6.28
06/03/1986,7.13
07/03/1986,7.5
10/03/1986,7.88
11/03/1986,8.72
12/03/1986,9.56
13/03/1986,8.53
14/03/1986,9.19
17/03/1986,8.91
18/03/1986,8.44
19/03/1986,7.88
20/03/1986,8.16
21/03/1986,8.44
24/03/1986,8.44
25/03/1986,8.25
26/03/1986,8.25
27/03/1986,7.78
31/03/1986,7.5
01/04/1986,7.22
02/04/1986,7.13
04/04/1986,7.13
07/04/1986,7.03
08/04/1986,6.94
09/04/1986,6.94
10/04/1986,6.94
11/04/1986,6.94
14/04/1986,6.94
15/04/1986,7.13
16/04/1986,7.03
17/04/1986,6.94
18/04/1986,6.94
21/04/1986,6.38
22/04/1986,6.28
23/04/1986,6.56
24/04/1986,7.41
25/04/1986,7.31
28/04/1986,7.22
29/04/1986,6.56
30/04/1986,6.56
02/05/1986,6.47
05/05/1986,6.28
06/05/1986,6.38
07/05/1986,6.38
08/05/1986,6.38
09/05/1986,6.19
12/05/1986,6.47
13/05/1986,6.75
14/05/1986,7.03
15/05/1986,6.94
16/05/1986,6.94
20/05/1986,6.94
21/05/1986,6.94
22/05/1986,6.94
23/05/1986,6.66
27/05/1986,6.75
28/05/1986,6.75
29/05/1986,6.75
30/05/1986,6.85
02/06/1986,6.66
03/06/1986,6.47
04/06/1986,6.19
05/06/1986,6.19
06/06/1986,6.38
09/06/1986,6.38
10/06/1986,6.38
11/06/1986,6.38
12/06/1986,6.56
13/06/1986,6.56
16/06/1986,6.47
17/06/1986,6.19
18/06/1986,6.1
19/06/1986,6
20/06/1986,6
23/06/1986,6.28
24/06/1986,6.56
25/06/1986,6.56
26/06/1986,6.47
27/06/1986,6.56
30/06/1986,6.56
01/07/1986,6.56
02/07/1986,6.56
03/07/1986,6.38
07/07/1986,6.38
08/07/1986,6.38
10/07/1986,6.38
11/07/1986,6.38
16/07/1986,6.19
18/07/1986,6.19
21/07/1986,6.19
24/07/1986,6.1
25/07/1986,6.1
28/07/1986,6.1
29/07/1986,6.19
30/07/1986,6.1
31/07/1986,6.1
01/08/1986,6
04/08/1986,5.91
05/08/1986,5.81
06/08/1986,5.81
07/08/1986,5.81
08/08/1986,5.81
11/08/1986,6
12/08/1986,6
18/08/1986,5.91
19/08/1986,5.91
21/08/1986,5.91
22/08/1986,6
26/08/1986,6.1
27/08/1986,6.1
28/08/1986,6.38
29/08/1986,6.56
02/09/1986,6.94
03/09/1986,7.03
04/09/1986,6.56
05/09/1986,6.56
08/09/1986,6.66
09/09/1986,6.66
10/09/1986,6.75
11/09/1986,6.66
15/09/1986,6.56
17/09/1986,6.56
18/09/1986,6.47
19/09/1986,6.56
22/09/1986,6.38
23/09/1986,6.19
25/09/1986,6.19
26/09/1986,6.28
29/09/1986,6.56
01/10/1986,6.56
02/10/1986,6.56
03/10/1986,7.13
06/10/1986,7.31
07/10/1986,7.31
08/10/1986,7.6
09/10/1986,7.31
10/10/1986,7.31
13/10/1986,7.31
14/10/1986,7.22
15/10/1986,7.22
17/10/1986,6.85
20/10/1986,6.85
21/10/1986,6.75
22/10/1986,6.85
23/10/1986,7.22
24/10/1986,7.22
27/10/1986,7.22
29/10/1986,6.94
03/11/1986,6.94
05/11/1986,7.03
07/11/1986,6.94
10/11/1986,6.94
11/11/1986,6.85
12/11/1986,6.85
13/11/1986,6.94
14/11/1986,6.94
18/11/1986,6.85
19/11/1986,6.75
20/11/1986,6.75
21/11/1986,6.75
25/11/1986,6.56
26/11/1986,6.56
28/11/1986,6.75
01/12/1986,7.03
02/12/1986,6.94
03/12/1986,6.94
05/12/1986,6.94
08/12/1986,6.94
09/12/1986,6.94
10/12/1986,6.94
11/12/1986,7.03
12/12/1986,7.03
15/12/1986,7.03
16/12/1986,6.94
17/12/1986,6.94
18/12/1986,6.75
19/12/1986,6.75
22/12/1986,6.75
23/12/1986,6.94
24/12/1986,6.94
29/12/1986,6.94
30/12/1986,6.94
31/12/1986,6.94
